iter	Passed	Remaining
0	5	498
1	6	302
2	7	229
3	7	190
4	8	168
5	9	153
6	10	144
7	11	137
8	13	131
9	13	125
10	14	120
11	15	115
12	16	113
13	18	111
14	19	107
15	19	104
16	20	101
17	21	99
18	22	96
19	23	93
20	24	91
21	25	89
22	25	86
23	26	84
24	27	83
25	28	81
26	29	79
27	30	77
28	31	76
29	35	82
30	36	81
31	37	79
32	38	77
33	39	75
34	40	74
35	41	72
36	41	71
37	42	69
38	43	68
39	44	66
40	45	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	51
52	56	50
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	65	45
59	66	44
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	72	34
68	73	33
69	74	32
70	75	30
71	76	29
72	78	28
73	79	27
74	80	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	89	14
86	90	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
